,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Kudahuvadhoo,MV,2.6708,72.8944,27.27,78,100,3.42,overcast clouds
278,Saldanha,ZA,-33.0117,17.9442,19.03,91,45,3.25,scattered clouds
279,Senador Guiomard,BR,-10.1522,-67.7392,29.86,80,48,0.86,scattered clouds
280,Gariaband,IN,20.635,82.0614,14.16,82,0,0.33,clear sky
281,Thompson,CA,55.7435,-97.8558,-20.91,77,100,3.6,overcast clouds
282,Cabo San Lucas,MX,22.8909,-109.9124,28.62,69,20,1.79,few clouds
283,Homer,US,59.6425,-151.5483,-1.07,79,0,2.06,clear sky
284,Half Moon Bay,US,37.4636,-122.4286,20.85,57,40,2.06,haze
285,Airai,TL,-8.9266,125.4092,18.41,82,100,0.83,overcast clouds
286,Lagoa,PT,39.05,-27.9833,13.33,55,68,6.57,broken clouds
287,Gao,ML,16.6362,1.637,16.23,21,22,6.24,few clouds
288,Destin,US,30.3935,-86.4958,8.0,68,100,4.63,overcast clouds
289,Lensk,RU,60.7253,114.9278,-34.53,100,16,1.52,few clouds
290,Canon City,US,38.441,-105.2424,16.36,11,0,0.89,clear sky
291,Grand Gaube,MU,-20.0064,57.6608,25.77,84,13,2.0,few clouds
292,Broome,US,42.2506,-75.833,-3.42,58,0,0.89,clear sky
293,Hamilton,US,39.1834,-84.5333,0.59,80,100,0.89,overcast clouds
294,Baykit,RU,61.67,96.37,-25.13,100,68,1.01,broken clouds
295,Sierra Vista,US,31.5545,-110.3037,20.52,16,0,0.0,clear sky
296,Paracuru,BR,-3.41,-39.0306,26.01,78,13,4.72,few clouds
297,Buchanan,LR,5.8808,-10.0467,25.98,84,89,1.81,overcast clouds
298,Port Hawkesbury,CA,45.6169,-61.3485,-8.56,86,40,2.24,scattered clouds
299,Elko,US,41.0002,-115.5012,4.01,58,6,1.26,clear sky
300,Avera,US,33.194,-82.5271,7.38,96,97,6.09,light rain
301,Nanchang,CN,28.6833,115.8833,7.78,92,100,2.92,light rain
302,Springbok,ZA,-29.6643,17.8865,17.3,78,9,2.1,clear sky
